,0,1
10,조상,ancestor
11,이루다,to achieve or accomplish
12,공사과학,sci-fi
13,시야,one's mental outlook/ view
14,보기,example
15,부사,adverb
16,형용사,adjective
17,동사,verb
18,명사,noun
19,어히,vocabulary
20,빈칸,space/ blank
21,고르다,to choose
22,표시하다,to indicate
0,동아리,school club
1,지다,to lose
2,이기다,to win
3,조사,research/ investigation inquiry
4,결과,result
5,에 따르면,according to
6,험하다,to be rugged
7,관광,sightseeing
8,감상,appreciation (passive watching)
9,촬영,photographing/filming
10,관람,watching (active participation eg sports)
11,오락,recreation/ pastime/ entertainment
12,활동,activities
13,유적지,historical landmarks
14,휴양지,resort/ tourist spots
15,이상,above/ more than
16,즐기다,To enjoy
17,기구,equipment
18,단독 주택,bungalow (single family house)
19,화초,flowering plants
20,과정,a process
21,활용하다,to make use of the time
22,스스로,by oneself
23,벗어나다,to get out of something
24,정도,Approximately/ about
25,근육,muscle
26,전통,Traditional
27,정물,stationary things
28,실력,ability/ talent
29,익숙하다,to be familar with/ use to
30,연휴,consecutive holidays
31,전시,to display/ exhibit
32,특히,especially
33,맛,taste (flavor)
34,기르다,to raise (animals)/ to grow (vegetables)
35,수수로,a fee
36,직접 화법,direct speech
37,간접 화법,indirect speech
38,한가한 시간,leisure/ spare time
39,재료,ingredients/ raw materials
40,단독,single/ individual/ seperate/ independent
41,꽃병,flower vase
42,화분,flower pot
43,월급,monthly salary
44,월세,monthly rent
45,비키다,to move aside
46,성공,success
47,노력,an effort/ hard work/ struggle
48,불가능한,impossible
49,몸무게,weight (not ㅊ)
