*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
머리가 썩다	old mindset (사고방식이나 사상이 낡아서 쓰지 못하게 되다)
머리가 크다 (굵다)	become adult (성인이 되다)
머리(를) 굴리다	put one's brain to work (머리를 써서 생각하다)
머리(를) 굽히다 (숙이다)	lower head, show low profile, modesty (굴복하거나 저자세를 보이다)
머리(를) 긁다	when u don't know sth and try to find the answer, scratching the head (수줍거나 무안해서 어쩔 졸 모를 때 그 어색함을 무마시키려고 머리를 긁적이다)
머리(를) 깎다	take the tonsure (shave hair as a sign of religious devotion), shave one's head to be a Buddhist monk (중이 되다)
머리(를) 식히다	rest one's mind (흥분되거나 긴장딘 마음을 가라앉히다)
머리(를) 싸고/싸매다	working with all my strength for what's gonna come next (있는 힘과 다음을 다해 노력하다)
머리가 (잘) 돌아가다	quit witted (임기응변으로 생각이 잘 떠오르거나 미치다)
머리가 가볍다	refreshing to the mind (상쾌하여 마음이나 기분이 거뜬하다)
머리가 무겁다	have a dull [heavy] feeling in the head (기분이 좋지 않거나 골이 띵하다)
머리를 쥐어짜다	squize one's brain (매우 애를 써서 궁리하다)
머리를 짓누르다	mental stimulation (정신적으로 강한 자극이 오다)
머리에 새겨 넣다	keep sth in mind (어떤 대상이나 사실을 단단히 기억해 두다)
머리에 파도 안 마르다	far from being an adult (아직 어른이 되려면 멀었다. 또는 나이가 어리다)
물과 기름	do not match each other (서로 어울리지 못하여 겉도는 사이)
물불을 가리지 않다	1. go through fire and water 2. be willing to take any risk (1. 어려움이나 위험을 무릅쓰고 행동하다 2. 어떤 일을 해도 되는지 안 되는지 생각 안하고 행동하다)
미역국(을) 먹다	fail an exam (시험에서 떨어지다)
바가지 쓰다/씌우다	be overcharged, be ripped off (요금이나 물건 값을 실제 가격보다 비싸게 내거나 내게 하다)
바가지(를) 긁다	henpeck, nag at (주로 아내가 남편에게 잔소리를 심하게 하다)
바람을 넣다	encourage sb to do sth (다른 사람에게 어떤 행동을 하려는 마음이 생기게 하다)
바람을 맞다	be rejected, stood up (상대방이 연락 없이 약속 장소에 나오지 않다)
바람을 쐬다	go out to get some air (기분을 바꾸려고 밖에 나가다)
발 벗고 나서다	throw oneself into a matter with enthusiasm (어떤 일을 하기 위해 적극적으로 행동하다)
발을 붙이다	rely on sb (의지하다)
발을 빼다	sever connections [relations] with (관계를 끊다)
발이 넓다 [너르다]	have a wide acquaintance (알고 지내는 사람이 많다)
발이 맞다	match well (잘 어울리다)
벽을 허물다	tear down a wall, obliterate disabilities (장애를 없애다)
복장(이) 터지다	feeling stuffy at the heart (매우 마음에 답답함을 느끼다)
비행기를 태우다	overpraise others (다른 사람을 지나치게 칭찬하다)
색안경을 끼다	have prejudice (편견을 가지다)
속(을) 긁다	hurt a person's feelings (남의 속어 뒤짐히게 비위를 살살 건드리다)
속(을) 끓이다	to worry about sth, be frustrated (마음을 태우다)
속(을) 뜨다 [떠보다]	guess a person's mind or feelings (남의 마음을 알려고 넘겨짚다)
속(을) 빼놓다	suppress one's feelings (줏대나 감정을 억제하다)
속(을) 썩이다	be bothered by a bad outcome/situation (뜻대로 되지 아니하거나 좋지 못한 일로 매우 괴로워하다)
속(을) 차리다	behave responsibly (자기의 실속을 꾸리다)
속(을) 태우다/타다	worry oneself about sth (우 걱정이 되어 마음을 졸이다)
속(이) 뒤집히다	to feel disgust, nausea (비위가 상해 욕지기가 날 듯하다)
속(이) 보이다	be easy to see through (엉큼한 마음이 들여다보이다)
속(이) 시원하다	a refreshing feeling (좋은 일이 생기거나 나쁜 일이 없어져서 마음이 상쾌하다)
속(이) 타다	be nervous (걱정이 되어 마음이 달다)
