,0,1
46,많으면 많을수록 좋아요.,The more the better. ~with (으)면 you can add before 수록 but it can be dropped
47,어릴수록,"the younger they are, the more..."
48,한두 단락,one or two paragraphs
49,금방,"soon, shortly, any minute"
50,그렇게 하지 않나 봐요?,It seems like it's not like that?
51,구급차가 서 있네요.,There's an ambulance (standing) there. (네요)
52,어디 편찮으세요?,Are you ill/unwell? (formal)
0,정보를 검색하다,to search for information
1,이메일을 보내다,to send an email
2,인터넷 게임을 하다,to play internet games
3,블로그를 하다,to make a blog
4,자료를 올리다,to upload data
5,영화를 내려 받다,to download a movie
6,채팅하다,to chat
7,인터넷 뱅킹을 하다,to do internet banking
8,인터넷 쇼핑을 하다,to go internet shopping
9,중독이 되다,to become addicted
10,부정확한 자료가 있다,to have inaccurate information
11,유해한 정보가 많다,to have a lot of harmful information
12,개인 정보가 유출되다,to leak personal information
13,시간을 낭비하다,to waste time
