,word,frequency
496,따라다니다,4016
497,지금껏,4499
498,천재,5043
499,설명하다,436
500,이십,5461
501,속담,2759
502,테니스,3762
503,박히다,2247
504,새우다,4529
505,자료,383
506,나비,4154
507,몸매,4574
508,가지다,387
509,껍질,1837
510,사진기,5000
511,뜨겁다,920
512,올라타다,5028
513,아쉬움,3883
514,엉망,3887
515,포도주,3212
516,동화,2267
517,찌개,4450
518,만일,1398
519,어색하다,2224
520,올려놓다,2493
521,평가되다,2848
522,활용,3085
523,전환,1824
524,텔레비전,728
525,무렵,1033
526,수입,2019
527,서양,822
528,춤추다,3761
529,교체,3354
530,업체,879
531,생,4027
532,뛰다,1464
533,거리,5154
534,초상화,4057
535,너희,1261
536,굳다,2597
537,조상,1256
538,의도,1351
539,공연히,4224
540,우아하다,4042
541,흘러내리다,3505
542,보고서,2106
543,민주,1640
544,털,2445
545,다정하다,3612
546,에,2725
547,재우다,5214
548,지겹다,3906
549,싱싱하다,3198
550,설사,3879
551,국제적,4227
552,찾다,128
553,상식,1455
554,왜,104
555,근처,899
556,탁자,3455
557,그날,512
558,재빨리,2997
559,부장,1921
560,꺼지다,2969
561,도시락,2862
562,결석하다,5428
563,운,2412
564,종,3831
565,주식,1451
566,풀다,422
567,어느새,1596
568,바람,3790
569,너무,155
570,예정,775
571,인사말,4945
572,우습다,2913
573,지도하다,4292
574,출입문,4301
575,지도,1886
576,담배,518
577,이야기하다,407
578,초반,2736
579,위성,3588
580,오렌지,3203
581,전시하다,4667
582,흩어지다,1910
583,담임,2291
584,상처,1391
585,초등학교,5044
586,제대로,469
587,지능,5220
588,팔다,500
589,식품점,5435
590,반하다,2369
591,형성하다,1656
592,입학하다,3293
593,회장,463
594,컨디션,5138
595,와,3818
596,성장,806
597,판매,996
598,속상하다,4775
599,공,768
600,차량,1592
601,분리,2717
602,많아지다,1894
603,마음먹다,3317
604,훌륭하다,747
605,날아오다,2288
606,철학자,3499
607,영화배우,4789
608,구성되다,1094
609,상황,188
610,화려하다,1658
611,뛰어나다,1320
612,파,2738
613,아직,135
614,비율,2434
615,반면,857
616,오히려,265
617,용기,3820
618,예방하다,3382
619,진심,4672
620,관리하다,3054
621,취소,4211
622,완성하다,2953
623,충분하다,1289
624,아니,633
625,태도,572
626,가꾸다,1386
627,장비,2277
628,폭,1224
629,알아듣다,1881
630,공개하다,2166
631,슬프다,1814
632,가입자,3406
633,도전,3146
634,발견되다,1301
635,사업자,3962
636,드라마,968
637,벗기다,1997
638,무지개,5251
639,몸,101
640,간판,3052
641,손수,4927
642,지불하다,3177
643,마르다,1310
644,모시다,1071
645,범죄,964
646,관람,5157
647,의심,2994
648,가능해지다,4220
649,각각,3218
650,어때,3580
651,술자리,4782
652,다소,929
653,보리,3422
654,되풀이하다,2791
655,제외하다,1156
656,나르다,3357
657,의도적,3895
658,스위치,3326
659,손님,701
660,해석,2475
661,항공,4310
662,허용되다,3350
663,해설,3650
664,최소한,1709
665,필수,4507
666,뒤편,4520
667,올라오다,1181
668,아깝다,2905
669,행동,330
670,좋다,21
671,내지,2071
672,신문사,3971
673,전용,2958
674,간장,2478
675,기막히다,3854
676,표정,295
677,바쁘다,675
678,받침,4524
679,공해,2892
680,가로수,4818
681,커다랗다,690
682,마련,1767
683,비웃다,4175
684,오르내리다,3631
685,차차,4738
686,정면,2330
687,장차,3981
688,그사이,4460
689,싱겁다,4933
690,수요,1329
691,초저녁,5047
692,자연히,2956
693,시월,1194
694,만들어지다,832
695,판매하다,2446
696,생활용품,5189
697,무의미하다,4330
698,충분히,943
699,기울다,4082
700,발생,2219
701,피곤하다,2118
702,이내,3170
703,붐비다,4478
704,점점,892
705,밥,263
706,실수,1221
707,뜻하다,1438
708,군대,1213
709,과학적,2195
710,가까워지다,3654
711,앞서다,1739
712,수출하다,4389
713,형사,1937
714,저것,3295
715,제자리,3210
716,교시,5060
717,밤늦다,3792
718,통계,2656
719,무책임하다,5084
720,강화하다,1694
721,목표,805
722,수집하다,3196
723,묻다,2615
724,여러,74
725,나누어지다,3855
726,곁,1259
727,소개되다,2677
728,음주,4118
729,하나하나,4364
730,사회,19
731,지배하다,1538
732,쓰이다,4653
733,실정,1703
734,장학금,4289
735,외우다,3526
736,선정하다,2985
737,불가능하다,1266
738,건설되다,4145
739,현대,418
740,한정하다,4889
741,호선,4311
742,그러니까,604
743,가뭄,3542
744,켜지다,3300
745,포함,3765
746,보전,3322
747,공연하다,5246
748,남,4826
749,귀엽다,2094
750,쓰다,5259
751,위로,4394
752,사례,1097
753,과자,3353
754,탤런트,2188
755,뛰어다니다,4571
756,군,3721
757,제안,3122
758,벌레,3103
759,간단히,2389
760,코끝,4812
761,재활용,4872
762,이론적,4489
763,소식,840
764,햇볕,3540
765,토끼,3456
766,한구석,3922
767,타고나다,3346
768,거대하다,1541
769,올바르다,1313
770,인사,1175
771,부드럽다,826
772,선수,646
773,본질,1675
774,개다,4821
775,냉면,5319
776,길,115
777,전시되다,5215
778,간섭,3464
779,존댓말,5130
780,아나운서,711
781,심심하다,4433
782,웃음,707
783,불편하다,1433
784,가라앉다,2529
785,잔,688
786,역시,230
787,외,692
788,예술가,1350
789,일정,2465
790,후기,2011
791,인체,2550
792,안팎,3381
793,형제,1657
794,하여튼,2206
795,그립다,3009
796,불완전하다,4476
797,풍부하다,1502
798,은,4439
799,윗사람,5208
800,합치다,2260
801,겨자,4069
802,가하다,2477
803,청소기,5399
804,이따금,3896
805,속이다,3155
806,넓히다,2216
807,착각하다,4056
808,갈색,2663
809,피로하다,4960
810,뛰놀다,5071
811,보상,2980
812,한글날,5419
813,무조건,1841
814,문화,44
815,물어보다,1170
816,여행,764
817,진행하다,2066
818,간부,1727
819,노래하다,2705
820,마약,3419
821,일체,2875
822,시멘트,3109
823,구성하다,1337
824,텅,3401
825,포도,4886
826,바닷물,4094
827,화재,3216
828,숨,888
829,구입,3776
830,줄무늬,4800
831,소유,1219
832,동의,2930
833,이용,1304
834,국산,2967
835,이런저런,2954
836,운명,1479
837,셋,2220
838,계속하다,897
839,실시되다,1681
